state_ocha,lga_ocha,adm2_pcode,pfpr
Osun,Ifedayo,NG030015,29.397058486938477
Ondo,Ifedore,NG029009,26.594102382659912
Kwara,Ifelodun,NG024005,26.209726929664612
Osun,Ifelodun,NG030016,27.694231271743774
Ogun,Ifo,NG028007,22.443000972270966
Kaduna,Igabi,NG019004,32.19691812992096
Kogi,Igalamela-Odolu,NG023008,25.279229879379272
Enugu,Igbo-Etiti,NG014007,21.43625020980835
Enugu,Igbo-Eze North,NG014008,26.836401224136353
Enugu,Igbo-Eze South,NG014009,23.87181669473648
Edo,Igueben,NG012010,21.218372881412506
Anambra,Ihiala,NG004012,21.252666413784027
Imo,Ihitte/Uboma,NG017007,34.980928897857666
Ogun,Ijebu East,NG028008,38.60446810722351
Ogun,Ijebu North,NG028009,44.92584764957428
Ogun,Ijebu North East,NG028010,32.86575973033905
Ogun,Ijebu Ode,NG028011,25.237509608268738
Ekiti,Ijero,NG013009,26.666438579559326
Kogi,Ijumu,NG023009,29.34579849243164
Akwa Ibom,Ika,NG003011,39.25212025642395
Delta,Ika North East,NG010007,18.57554018497467
Delta,Ika South,NG010008,24.641087651252747
Kaduna,Ikara,NG019005,26.582995057106018
Imo,Ikeduru,NG017008,38.163331151008606
Lagos,Ikeja,NG025011,11.6297148168087
Ogun,Ikenne,NG028012,20.02534419298172
Ekiti,Ikere,NG013010,25.503775477409363
Ekiti,Ikole,NG013011,36.90851032733917
Cross River,Ikom,NG009012,30.192041397094727
Akwa Ibom,Ikono,NG003012,32.82842934131622
Lagos,Ikorodu,NG025012,14.292679727077484
Akwa Ibom,Ikot Abasi,NG003013,33.47354829311371
Akwa Ibom,Ikot Ekpene,NG003014,34.39948856830597
Edo,Ikpoba-Okha,NG012011,23.979029059410095
Rivers,Ikwerre,NG033013,24.64560866355896
Ebonyi,Ikwo,NG011007,22.948379814624786
Abia,Ikwuano,NG001005,41.10383093357086
Osun,Ila,NG030017,26.10364556312561
Ondo,Ilaje,NG029010,36.675259470939636
Ondo,Ile-Oluji-Okeigbo,NG029011,26.056110858917236
Ekiti,Ilejemeji,NG013012,33.63698422908783
Osun,Ilesha East,NG030018,20.505066215991974
Osun,Ilesha West,NG030019,18.752284348011017
Sokoto,Illela,NG034008,21.397699415683746
