,pearson,spearman,abs_pearson,coverage
Children <5 yrs who received LLIN,0.13434068789186301,0.4922362227413451,0.13434068789186301,1.0
Persons with Severe Malaria given recommended pre-referral trea,0.11027274817854489,0.30182160956651843,0.11027274817854489,1.0
fac_share,0.10914515406424395,0.10864028972354924,0.10914515406424395,1.0
MAL - Case fatality rate (malaria admissions),-0.09440836263471442,-0.24414227557366566,0.09440836263471442,0.09741063738156762
% of Fever cases Tested with Microscopy,-0.09400103584170304,-0.11641493699013412,0.09400103584170304,0.3738964254952627
% of Under 5 deaths attributable to Malaria,-0.09261594337045988,-0.09269551660138348,0.09261594337045988,0.1513512058570198
Persons with Severe Malaria treated with other pre referral tre,0.0652386105153866,0.18986756337510033,0.0652386105153866,1.0
% of Malaria cases clinically diagnosed,-0.06303123212084752,-0.22592107832971003,0.06303123212084752,0.40199720068906114
wind_speed_ms,0.060077780641751705,0.12158015300908699,0.060077780641751705,0.75
rainfall_mm_day,-0.041630794252805636,-0.10386045075334999,0.041630794252805636,0.75
% of clinically diagnosed malaria given ACT,0.040573076356027214,0.019729529761557577,0.040573076356027214,0.34517657192075796
% of Persons Clinically diagnosed with Malaria treated with ACT,0.03836260587101652,0.021026339835731458,0.03836260587101652,0.34488049095607237
% of confirmed uncomplicated malaria given other antimalaria,0.029939045277960034,-0.2262615974101791,0.029939045277960034,0.3813522825150732
MAL - Percentage of malaria deaths,-0.023107538367882083,-0.05541643932606302,0.023107538367882083,0.15051679586563307
temperature_mean_c,0.021354019634278597,0.07017696472620785,0.021354019634278597,0.75
Test Positivity Rate(TPR) (RDT),0.021050894367620324,-0.09548543174691458,0.021050894367620324,0.40929155900086134
Closing Balance - Rapid Diagnostic Test (RDT),0.01880074039498368,0.03571428300579832,0.01880074039498368,1.0
% of Antenatal 1st Visits receiving LLIN,-0.017233034994531486,-0.22244849226557117,0.017233034994531486,0.5805878552971576
% of suspected malaria receiving parasitological test,0.016135260198960163,0.05318351803580157,0.016135260198960163,0.4883451765719208
MAL - Percentage of malaria OPD cases,0.015900470047463054,0.25480397575897346,0.015900470047463054,0.3121231696813092
MAL - % of suspected malaria cases tested,0.015314481932053097,0.0456774873607566,0.015314481932053097,0.3537090869939707
% of Fever cases Tested with RDT,0.011270328612749002,0.023768233072786995,0.011270328612749002,0.7888942721791559
% Under 5 receiving LLIN,0.010605726359768728,0.10574720426395433,0.010605726359768728,0.38977713178294576
Under 5 mortality rate(Facility),0.004903521645935835,-0.1877504886518113,0.004903521645935835,0.3372900516795866
% of all Antenatal care clients receiving malaria IPT,-0.0021869318171439727,0.16519584123090367,0.0021869318171439727,0.7270671834625323
% of confirmed uncomplicated malaria given ACT,0.0009728042498878467,0.038779238605585326,0.0009728042498878467,0.47749784668389317
IPTp1 Coverage (institutional),0.0002518745860105272,0.6875942123559817,0.0002518745860105272,1.0
