country,year,month,Access to an ITN,ACT Given - Total,Anti-Malarial treatment,Anti-Malarial treatment among children under 5 yrs,Children <5 yrs who received LLIN,Children age 6�59 months tested positive for Malaria  accordi,Children under age 5 had a fever in the 2 weeks before the surv,Children under age 5 with a fever received ACT,Children with a fever had blood taken for testing,Closing Balance - Rapid Diagnostic Test (RDT),IPTp1 Coverage (institutional),IPTp2 Coverage (institutional),IPTp3 Coverage (institutional),IPTp>=4 Coverage (institutional),LLIN given – Total,MAL - Malaria cases confirmed (number),MAL - Malaria cases tested with microscopy,MAL - Malaria cases tested with RDT,MAL - Malaria deaths inpatient(Under 5),MAL - Malaria inpatient admissions,MAL - Non-malaria deaths inpatient,MAL - Non-malaria outpatient cases,MAL - Total reported malaria cases (confirmed + presumed),Number of malaria cases treated with artemisinin-based combinat,Number of malaria positive cases by microscopy,Number of malaria positive cases by rapid diagnostic test (RDT),Number of suspected malaria cases,Persons with Severe Malaria given recommended pre-referral trea,Persons with Severe Malaria treated with Artesunate injection,Persons with Severe Malaria treated with other pre referral tre,Severe Malaria cases seen,Severe Malaria Treatment,Treatment with Artemisinin-based Combination Therapy (ACT) amon,n_facilities,Children under 5 sleeping under insecticide-treated nets (ITNs),Children under 5 yr who slept under an ITN,[CONFIG] MAL - Reporting completeness - DTH (%),[CONFIG] MAL - Reporting completeness - IPD (%),% Confirmed Malaria (RDT or Microscopy),% Confirmed uncomplicated Malaria,Estimated malaria cases in 2021,Estimated malaria cases in 2022,Estimated malaria cases in 2023,Fever Testing Rate,Households using an improved sanitation facility,Households using Improved Water as Source of drinking water ,Households with at least one ITN,Literacy among women,Malaria diagnostic usage (Percentage of children under age 5 wi,Malaria prevalence according  to RDT  among children,MAL - Case fatality rate (malaria admissions),MAL - % of all-admissions/all outpatients,MAL - % of all-deaths/all admissions,MAL - % of malaria tested cases by RDT,MAL - % of suspected malaria cases tested,MAL - Percentage of malaria deaths,MAL - Percentage of malaria IPD,MAL - Percentage of malaria OPD cases,MAL - Slide positivity rate (microscopy),MAL - Test positivity rate (RDT),% of all Antenatal care clients receiving malaria IPT,% of Antenatal 1st Visits receiving IPT1,% of Antenatal 1st Visits receiving LLIN,% of Antimalaria with mobile authentication service,% of clinically diagnosed malaria given ACT,% of confirmed uncomplicated malaria given ACT,% of confirmed uncomplicated malaria given other antimalaria,% of Fever cases tested positive with Microscopy,% of Fever cases tested positive with RDT,% of Fever cases Tested with Microscopy,% of Fever cases Tested with RDT,% of Malaria cases clinically diagnosed,% of Persons Clinically diagnosed with Malaria treated with ACT,% of suspected malaria receiving parasitological test,% of Under 5 deaths attributable to Malaria,Ownership of at least one mosquito net,Ownership of insecticide-treated nets,Percentage of children age 6-59 months classified as having ana,Percentage of children who received ACT,Percentage of households owning at least one ITN,Percentage of households with at least one mosquito net,Percentage of malaria cases confirmed with laboratory diagnosti,Percentage of women age 15�49 who say there are ways to avoid,Percentage of women who took any IPT (SP/Fansidar),% Percentage who have seen or heard a malaria message in the pa,Percentage who received 2 or more doses,Percentage who received 3 or more doses of SP,Percentage who received one or more doses of SP/Fansidar,Percentage who received only 1 dose of SP,Percentage who received three or more doses of SP/Fansidar,Percentage who received two or more doses of SP/Fansidar,Percentage who state there are ways to avoid getting malaria,Percentage with a fever & tested for malaria,Persons with access to an insecticide treated mosquito net (ITN,Pregnant women attending antenatal care� at least once and re,Pregnant women sleeping under insecticide-treated nets (ITNs),Pregnant women who slept under an ITN,Reporting completeness - OPD (%),Sources of ITNs-MDC ,Test Positivity Rate(TPR) (Microscopy),Test Positivity Rate(TPR) (RDT),% U5 fever to OPD attendance,Under 5 mortality rate(Facility),% Under 5 receiving LLIN,Use of clean fuels and technologies for cooking,Use of ITNs,Use of ITNs by children under age 5,Use of ITNs by pregnant women,Vector Control — LLINs,temperature_mean_c,temperature_max_c,temperature_min_c,humidity_pct,rainfall_mm_day,wind_speed_ms,solar_kwh_m2_day
Nigeria,2023,10,0.0,2918341.0,0.0,0.0,34792.0,0.0,0.0,0.0,0.0,0.0,1725848.1300000001,1503305.74,915431.45,434740.52999999997,138445.0,2812605.0,368901.0,3395128.0,844.0,43503.0,8433.0,0.0,4052919.0,0.0,0.0,0.0,0.0,46986.33,101889.81,18027.77,43503.0,0.0,0.0,48458,,,-1.0,-1.0,79.88903703126824,,,,,,,,,,,,12.800806451612903,,,,,51.35385892116182,,,84.70568896925859,77.36653546854522,82.72407653994713,,100.2998205928237,,101.97467778134018,,54.015755584756896,84.70568896925859,77.36653546854522,,96.3992417791834,69.66040033130867,102.01445460483345,,82.19726495726496,,,,,,,,,,,,,,,,,,,,,,,0.0,,35.3693600953895,30.044699666295887,,191.7284238178634,97.39190136275147,,,,,,26.717565901564026,33.52547351494152,21.146316595516584,76.52758963952755,3.8771192832666497,1.3293031759097957,18.004111262132206
Nigeria,2023,11,0.0,2812813.0,0.0,0.0,32507.0,0.0,0.0,0.0,0.0,0.0,1814573.91,1635915.52,1063930.71,427859.77999999997,132762.0,2360428.0,343875.0,2878192.0,575.0,33700.0,8808.0,0.0,3436012.0,0.0,0.0,0.0,0.0,32689.47,92360.01,16972.3,33700.0,0.0,0.0,48462,,,-1.0,-1.0,80.61661449138911,,,,,,,,,,,,16.734059405940595,,,,,51.45564102564103,,,85.72175744371823,76.7422200660611,83.86348414441098,,96.90889406889407,,102.4940190945488,,60.279676549865236,85.72175744371823,76.7422200660611,,96.47425487550593,67.50348034006376,102.57272613458528,,81.11517587939699,,,,,,,,,,,,,,,,,,,,,,,0.0,,35.48480715705766,29.71167874237035,,178.17842007434945,91.23573901464712,,,,,,26.778661421844493,34.02825734083687,20.34357681558899,68.49578193790437,1.8861821905746337,1.517907239385935,17.833398415068338
Nigeria,2023,12,0.0,0.0,0.0,0.0,33996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127979.0,0.0,278898.0,0.0,448.0,32041.0,9605.0,0.0,0.0,0.0,0.0,0.0,0.0,40924.41,104814.20999999999,24207.91,32041.0,0.0,0.0,48462,,,-1.0,-1.0,,,,,,,,,,,,,37.93376344086022,,,,,46.59527607361963,,,84.44101953125,,,,,,108.81682430213463,,,84.44101953125,,,,,109.17654362416107,,79.36775757575758,,,,,,,,,,,,,,,,,,,,,,,0.0,,35.00538128249567,,,,93.63191011235956,,,,,,25.326938670035602,34.628563416408255,15.605412694766663,52.06828643620076,0.03388863366639869,1.8570406952260634,20.269090578461775
Nigeria,2024,1,0.0,2099053.0,0.0,0.0,33154.0,0.0,0.0,0.0,0.0,0.0,1798565.4200000002,1640928.3800000001,1036001.35,501861.44,116431.0,2054962.0,307361.0,2571502.0,412.0,27650.0,10517.0,0.0,3033170.0,0.0,0.0,0.0,0.0,27246.77,94452.7,19422.09,27650.0,0.0,0.0,48462,,,-1.0,-1.0,76.72499053460548,75.19624441964285,,,,70.8116510172144,,,,,,,14.582613636363636,,,,97.62940153659522,42.881811594202894,,,83.83197080291971,74.31210910105196,82.68528731104436,,100.37088498212158,,99.94049063912202,100.27199187770583,57.95549006622516,83.83197080291971,74.31210910105196,66.37815265113137,96.67310546798223,65.95694389625035,99.94049063912202,97.62940153659522,76.15546666666667,,,,,,,98.86725240456869,,,,,,,,,,,,,,,,0.0,,35.39657407407407,29.094146844660198,,309.09144761904764,109.48967168262654,,,,,,25.007990122889627,34.78957486313694,14.625458826231768,44.65897572834118,0.09274491788216378,2.0466015849316643,20.530876115003256
Nigeria,2024,2,0.0,2164405.0,0.0,0.0,44474.0,0.0,0.0,0.0,0.0,0.0,1908596.84,1693041.01,1095515.52,536941.16,155751.0,2127114.0,301941.0,2669554.0,381.0,29468.0,9593.0,0.0,3126995.0,0.0,0.0,0.0,0.0,22590.73,85498.01,15895.95,29468.0,0.0,0.0,48462,,,-1.0,-1.0,74.99216037486302,73.4115562569625,,,,70.19189975086454,,,,,,,11.773877551020407,,,,97.64956829778643,37.371156462585034,,,83.1512161699212,72.43230063063781,82.98672574626866,,96.20085140018067,,104.8183199195171,101.16462805180912,58.819754385964906,83.1512161699212,72.43230063063781,66.73285332442366,96.9172248483416,68.5609304964539,104.8183199195171,97.64956829778643,74.01018633540372,,,,,,,99.09319100281162,,,,,,,,,,,,,,,,0.0,,34.50933707471063,27.91477902466057,,306.30218809980806,97.90471707561342,,,,,,27.354459438765744,37.78334424409479,17.192570154281995,48.338896290341104,0.3915822518280311,2.1636755866926993,19.394746755484093
Nigeria,2024,3,0.0,2045253.0,0.0,0.0,42285.0,0.0,0.0,0.0,0.0,0.0,1887928.39,1742851.07,1094386.32,534635.37,138578.0,2008410.0,314244.0,2548469.0,525.0,33743.0,9842.0,0.0,3028618.0,0.0,0.0,0.0,0.0,25640.96,94086.72,10203.9,33743.0,0.0,0.0,48463,,,-1.0,-1.0,74.4492442079843,,,,,,,,,,,,19.29962962962963,,,,,37.66970059880239,,,88.10022592978798,71.43230545946162,83.63447833689527,,100.45503745318352,,102.76996249573814,,56.48668313338038,88.10022592978798,71.43230545946162,66.79115074024227,96.47568164001254,65.2208120649652,102.76996249573814,97.25012029250458,74.6039378238342,,,,,,,98.73327785034522,,,,,,,,,,,,,,,,0.0,,34.307175925925925,,,213.66051282051282,91.13567029843675,,,,,,29.631636614218444,38.71424926304506,22.27120630909996,57.667577045289235,1.2706276559090388,2.0451780176869185,20.08643084108572
Nigeria,2024,4,0.0,2137157.0,0.0,0.0,46140.0,0.0,0.0,0.0,0.0,0.0,1785468.04,1579625.35,946098.5900000001,545999.77,161312.0,2089709.0,290049.0,2656451.0,553.0,28311.0,9030.0,0.0,3089412.0,0.0,0.0,0.0,0.0,19012.84,77140.72,8892.19,28311.0,0.0,0.0,48463,,,-1.0,-1.0,74.29508404944971,,,,,,,,,,,,23.87034782608696,,,,,34.34540697674419,,,83.13837482219061,71.40139435448751,83.06131107531606,,99.55147058823529,,105.40895137880987,,57.73880988023952,83.13837482219061,71.40254424515976,66.38536161335188,96.69774355775603,64.92017109685304,105.40895137880987,97.58239305936074,70.65579234972678,,,,,,,99.21822375793799,,,,,,,,,,,,,,,,0.0,,35.07392766726944,,,184.46389587073608,93.54631224764469,,,,,,29.794702729604534,37.94139925730256,23.90400654645687,64.81024041958578,2.8323835228360323,2.021415144902569,20.110322537421997
Nigeria,2024,5,0.0,2205942.0,0.0,0.0,38405.0,0.0,0.0,0.0,0.0,0.0,1817177.31,1468024.2,901883.09,537513.59,125875.0,2174573.0,341667.0,2719057.0,513.0,28409.0,10400.0,0.0,3213218.0,0.0,0.0,0.0,0.0,21858.780000000002,83945.42,14048.1,28409.0,0.0,0.0,48463,,,-1.0,-1.0,74.56648712916132,,,,,,,,,,,,29.903716814159292,,,,,35.698418079096044,,,83.93484806147399,72.9481984738892,82.21011298065267,,103.00340351746345,,102.06879602356406,,56.360181950509464,83.92923480083857,72.92968006041094,67.16990225817324,96.68333791100996,64.12934282939463,102.06879602356406,97.70947391591459,73.30663212435233,,,,,,,99.36962045710004,,,,,,,,,,,,,,,,0.0,,35.36756679729249,,,359.936640625,96.29877562028047,,,,,,29.171501856743618,36.51114964970713,23.26427261590291,72.08532827992804,3.5927845411737684,1.9172525936985567,18.855184334443553
Nigeria,2024,6,0.0,2437811.0,0.0,0.0,48240.0,0.0,0.0,0.0,0.0,0.0,3060698.48,1623544.0999999999,984798.33,545335.41,197579.0,2393781.0,328957.0,2929866.0,480.0,29621.0,8415.0,0.0,3406303.0,0.0,0.0,0.0,0.0,21743.04,84453.22,10009.609999999999,29621.0,0.0,0.0,48463,,,-1.0,-1.0,75.89713912133891,,,,,,,,,,,,16.190795454545455,,,,,43.363673469387756,,,86.20678377399494,74.17083026552831,101.82037168822427,,143.7992445083145,,99.98683808758537,,53.50254901960785,86.20678377399494,74.17083026552831,66.93155516637478,97.2002488372093,60.991572237960334,99.98683808758537,98.33330685710122,70.77499999999999,,,,,,,,,,,,,,,,,,,,,,,0.0,,35.52717986676535,,,307.45588122605363,107.06958096900917,,,,,,27.504905057233643,34.814684353585235,22.465683932468128,78.57408502737262,6.597096206117683,1.78964664446231,16.942287814402206
Nigeria,2024,7,0.0,2796105.0,0.0,0.0,62682.0,0.0,0.0,0.0,0.0,0.0,1968835.46,1728672.11,1080346.11,547202.6900000001,173772.0,2763909.0,381741.0,3329933.0,805.0,39520.0,12586.0,0.0,3904599.0,0.0,0.0,0.0,0.0,41449.92,101881.18,15731.33,39520.0,0.0,0.0,48463,,,-1.0,-1.0,78.1147114607072,,,,,,,,,,,,25.195777777777778,,,,,50.42306666666667,,,84.00889938249183,75.8463040049244,85.76448504354411,,95.56838531720773,,110.37491177677471,,64.94451590106007,84.00889938249183,75.84766378149644,67.49583068783069,96.32360274233478,66.05622269960615,110.37491177677471,97.73746164624725,79.3695020746888,,,,,,,,,,,,,,,,,,,,,,,0.0,,35.886900110578694,,,375.29389925373135,108.693565647482,,,,,,25.76504326021209,31.933941081888136,21.817818804793077,84.95506201906511,10.576121320010719,1.939166953791968,14.880457486313693
Nigeria,2024,8,0.0,3393045.0,0.0,0.0,58192.0,0.0,0.0,0.0,0.0,0.0,1843389.82,1722093.23,1074176.45,608915.51,186617.0,3201530.0,371508.0,3762191.0,842.0,49599.0,8456.0,0.0,4333308.0,0.0,0.0,0.0,0.0,29260.95,91477.64,12566.83,49599.0,0.0,0.0,48463,,,-1.0,-1.0,79.62872867302944,,,,,,,,,,,,11.272575757575758,,,,,54.71925619834711,,,85.33586297266942,77.03547105780726,83.53328015713328,,103.06741401992106,,136.2803970331588,,50.281210795040124,85.33586297266942,77.03547105780726,64.57562158220925,96.50353998546679,102.19669315172152,136.2803970331588,97.55459990607275,78.78050980392156,,,,,,,,,,,,,,,,,,,,,,,0.0,,36.3868233510235,,,231.86354782608697,93.13702516233766,,,,,,25.064696412847898,30.18705026606945,21.430405038091955,87.49179970138968,5.335820412694766,2.107033038551357,14.195054936641016
Nigeria,2024,9,0.0,3160922.0,0.0,0.0,67955.0,0.0,0.0,0.0,0.0,0.0,1903277.34,1658577.69,1100010.42,631948.6,208576.0,3131344.0,411783.0,3631940.0,824.0,49206.0,9353.0,0.0,4280915.0,0.0,0.0,0.0,0.0,29560.4,93868.45,17211.59,49206.0,0.0,0.0,48463,,,-1.0,-1.0,77.50657249290009,,,,,,,,,,,,16.1781884057971,,,,,49.28594017094017,,,85.8294243792325,75.0976942616326,82.8037585859071,,100.33915233415233,,104.72521963824289,,60.168420300214436,85.8294243792325,75.0976942616326,64.34374082232011,96.3276571145114,62.51978154425612,104.72521963824289,97.56978228018134,79.41723849372386,,,,,,,,,,,,,,,,,,,,,,,0.0,,36.42238636363636,,,222.6156282271945,105.81446939514669,,,,,,25.542868764595536,31.247292982657633,21.25510432219287,86.10962539719,6.144666934650282,1.4688046016614984,16.971705141457065
Nigeria,2024,10,0.0,3495628.0,0.0,0.0,101888.0,0.0,0.0,0.0,0.0,0.0,1815638.27,1491936.98,960482.09,618625.07,303794.0,3460954.0,371528.0,4147374.0,1072.0,49582.0,11081.0,0.0,4699222.0,0.0,0.0,0.0,0.0,33307.4,122329.09,15350.640000000001,49582.0,0.0,0.0,48462,,,-1.0,-1.0,77.55224144928606,,,,,,,,,,,,10.708487394957983,,,,,57.75893203883495,,,87.0684743083004,75.16831288225563,83.09407672021098,,100.66660636212875,,104.324753673293,,53.8551282051282,87.0684743083004,75.16831288225563,64.1639443597561,96.9480475899939,64.61958649468893,104.324753673293,,77.39258706467662,,,,,,,,,,,,,,,,,,,,,,,0.0,,35.22766093562575,,,197.975763016158,101.02945118428653,,,,,,25.673455648711762,32.239771831093755,19.45058688411623,82.20456510087668,4.732253742199762,1.33845028903947,17.85281612495693
Nigeria,2024,11,0.0,2957981.0,0.0,0.0,115812.0,0.0,0.0,0.0,0.0,0.0,1820460.49,1515866.0,966620.86,614954.45,298106.0,2912634.0,355894.0,3857028.0,723.0,43454.0,10243.0,0.0,4397095.0,0.0,0.0,0.0,0.0,33050.92,109308.27,16864.35,43454.0,0.0,0.0,48462,,,-1.0,-1.0,78.08989732142857,,,,,,,,,,,,14.034692307692307,,,,,46.74311004784689,,,86.08500379362671,75.2193834843829,85.44987172011662,,102.51167240300376,,126.22844057193923,,55.01807772380292,86.08500379362671,75.2193834843829,64.66241467889908,97.26936794669338,60.21331021194605,126.22844057193923,,80.30848623853211,,,,,,,,,,,,,,,,,,,,,,,0.0,,35.146394584139266,,,429.8897777777778,122.16127009646301,,,,,,24.38607155162513,33.07789594579074,15.266968148233222,64.92127445350484,0.39295815627273073,1.8716890624401823,21.036493817235176
Nigeria,2024,12,0.0,2762357.0,0.0,0.0,171265.0,0.0,0.0,0.0,0.0,0.0,2254754.42,1717781.24,1073276.05,618706.84,466975.0,2754600.0,285542.0,3795068.0,509.0,40426.0,8627.0,0.0,4217495.0,0.0,0.0,0.0,0.0,28670.3,98151.39,12636.23,40426.0,0.0,0.0,48462,,,-1.0,-1.0,74.76255836359594,,,,,,,,,,,,13.234020618556702,,,,,56.2307514450867,,,88.11978056426332,72.54380434363307,,,113.88373304395009,,101.89927603923401,100.3268114747959,62.66616564417178,88.11978056426332,72.54380434363307,65.1179725609756,97.27535688398886,61.40730318934195,101.89927603923401,,80.33567415730337,,,,,,,,,,,,,,,,,,,,,,,0.0,,35.42921325878594,,,197.0603744493392,111.97691141433832,,,,,,23.82345794571418,33.8983850158876,14.33340875157919,53.34889820450979,0.009877684621568851,2.1451969679568164,19.888996784196625
