state_ocha,lga_ocha,adm2_pcode,area_sqkm,center_lat,center_lon,elevation
Kaduna,Jaba,NG019006,454.54245725,9.47616768,8.02435976,805.0
Adamawa,Jada,NG002008,2603.03560697,8.70004456,12.3273812,426.0
Jigawa,Jahun,NG018014,1245.95943471,12.06542938,9.56099492,381.0
Yobe,Jakusko,NG036009,3529.61777858,12.3711745,11.00417973,351.0
Taraba,Jalingo,NG035007,190.41192762,8.90558282,11.33612574,185.0
Bauchi,Jama'are,NG005011,382.45876167,11.66738054,9.94408962,394.0
Kebbi,Jega,NG022011,965.91658265,12.09885836,4.47506786,236.0
Kaduna,Jema'a,NG019007,1416.2512242,9.39903146,8.26209883,524.0
Borno,Jere,NG008013,843.30495343,11.9269352,13.18697004,314.0
Katsina,Jibia,NG021016,1066.92783484,13.00457005,7.40711561,461.0
Plateau,Jos East,NG032004,1027.73435105,9.87550902,9.12939928,1182.0
Plateau,Jos North,NG032005,262.19744238,9.94376989,8.89468678,1176.0
Plateau,Jos South,NG032006,566.16351621,9.76105051,8.84563005,1286.0
Kogi,Kabba/Bunu,NG023010,2693.15033342,8.07187708,6.14114865,521.0
Kano,Kabo,NG020020,372.22152427,11.89781998,8.19665464,517.0
Kaduna,Kachia,NG019008,4590.58385396,9.85955988,7.67595665,648.0
Kaduna,Kaduna North,NG019009,59.36817258,10.54451639,7.45015319,620.0
Kaduna,Kaduna South,NG019010,52.69910306,10.51088461,7.39983594,598.0
Jigawa,Kafin Hausa,NG018015,1371.15486089,12.16895168,9.97775237,368.0
Katsina,Kafur,NG021017,1013.58810328,11.63564521,7.7185651,575.0
Borno,Kaga,NG008014,2574.67598829,11.58789019,12.48620647,377.0
Kaduna,Kagarko,NG019011,1910.93086819,9.49357542,7.58513036,625.0
Kwara,Kaiama,NG024011,6935.92752772,9.53601793,4.11481379,316.0
Katsina,Kaita,NG021018,714.28431823,13.17897921,7.78231191,445.0
Oyo,Kajola,NG031019,604.27382695,8.02853251,3.35859431,395.0
